,rank,country,ethnic_fractionalization_index,cultural_diversity_index
123,"123
",['Slovenia'],"0.231
","0.170
"
124,"124
",['Bangladesh'],"0.223
","0.141
"
125,"125
",['Uruguay'],"0.218
","0.000
"
126,"126
",['Cuba'],"0.213
","0.020
"
127,"127
",['El Salvador'],"0.198
","0.180
"
128,"128
",['Sweden'],"0.189
","0.189
"
129,"129
",['Azerbaijan'],"0.188
","0.187
"
130,"130
",['Hungary'],"0.186
","0.185
"
131,"131
",['Cambodia'],"0.186
","0.150
"
132,"132
",['Honduras'],"0.185
","0.167
"
133,"133
",['Rwanda'],"0.180
","0.000
"
134,"134
",['Ireland'],"0.171
","0.157
"
135,"135
",['Jamaica'],"0.166
","0.027
"
136,"136
",['Egypt'],"0.164
","0.000
"
137,"137
",['Philippines'],"0.161
","0.116
"
138,"138
",['China'],"0.154
","0.154
"
139,"139
",['Libya'],"0.151
","0.127
"
140,"140
",['Australia'],"0.149
","0.147
"
141,"141
",['Armenia'],"0.134
","0.124
"
142,"142
",['Finland'],"0.132
","0.132
"
143,"143
",['Paraguay'],"0.132
","0.039
"
144,"144
",['Denmark'],"0.128
","0.128
"
145,"145
",['Austria'],"0.126
","0.100
"
146,"146
",['Norway'],"0.098
","0.098
"
147,"147
",['Albania'],"0.097
","0.082
"
148,"148
",['Germany'],"0.095
","0.090
"
149,"149
",['Haiti'],"0.095
","0.000
"
150,"150
",['Yemen'],"0.078
","0.078
"
151,"151
",['Netherlands'],"0.077
","0.077
"
152,"152
",['Greece'],"0.059
","0.050
"
153,"153
",['Poland'],"0.047
","0.041
"
154,"154
",['Portugal'],"0.040
","0.040
"
155,"155
",['Italy'],"0.040
","0.040
"
156,"156
",['Tunisia'],"0.039
","0.033
"
157,"157
",['Japan'],"0.012
","0.012
"
158,"158
",['South Korea'],"0.004
","0.004
"
159,"159
",['North Korea'],"0.002
","0.002
"
